,name,text
804,S100,"GSM GSM 900 / 1800 / 1900 Class 8 No 2002 Discontinued 89 x 47 x 23 mm, 94 cc (3.50 x 1.85 x 0.91 in) 92 g (3.25 oz) Mini-SIM STN, 65K colors  128 x 160 pixels Second external display 96 x 64 pixels
Four way navigation keys
Dynamic font size No 500 entries, contact groups 20 dialed, 20 received, 20 missed calls Message templates No No Vibration; Downloadable polyphonic ringtones, composer No No No No Yes No   SMS, EMS WAP 1.2.1 Yes Yes Yes Yes Predictive text input
Voice commands and dial
Voice memo
Organizer
Speed dial
Menu shortcuts
World clock
Nokia compatible melodies Removable Li-Ion battery 180 h 6 h  "
805,SGH-2400,"GSM GSM 900 / 1800 No No 1999 Discontinued 108 x 45 x 18.8 mm (4.25 x 1.77 x 0.74 in) 90 g with slim battery (3.17 oz) Mini-SIM Monochrome graphic  115 x 60 pixels, 4 lines, 19:10 ratio Fixed icons
Dynamic font size 
Softkey No 100 10 dialed, 10 received, 10 missed calls 5 message templates
20 voice dial numbers
140 sec voice memo No No Vibration; Monophonic ringtones No No No No No   SMS  Yes Yes No 17 No Voice dial
Voice memo
Speed dial
Built-in type ear microphone
Menu shortcuts
World clock Removable Li-Ion battery 50 h 2 h 30 min Standard Li-Ion 76 h 4 h 3 "
806,SGH-250,GSM GSM 900 No No 1996 Discontinued 124 x 48 x 25 mm (4.88 x 1.89 x 0.98 in) 179 g (6.31 oz) Mini-SIM Alphanumeric  3 x 12 chars Fixed icons No   No No Vibration; Monophonic ringtones No No No No No   SMS  No No No No Removable Li-Ion battery 40 h 2 h 3 
807,iQOO 12 Pro,"GSM / CDMA / HSPA / CDMA2000 / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 CDMA2000 1x 1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 42, 66 1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 66, 38, 40, 41, 77, 78 SA/NSA HSPA, LTE-A, 5G 2023, November 07 Available. Released 2023, November 14 164.6 x 75.4 x 8.6 mm or 8.8 mm 205 g or 210 g (7.23 oz) Dual SIM (Nano-SIM, dual stand-by) IP68 dust/water resistant (up to 1.5m for 30 min) AMOLED, 1B colors, 144Hz, HDR10+, 1600 nits (HBM), 3000 nits (peak) 6.78 inches, 111.0 cm2 (~89.4% screen-to-body ratio) 1440 x 3200 pixels, 20:9 ratio (~518 ppi density) Android 14, Funtouch 14 (International), OriginOS 4 (China) Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Octa-core (1x3.3 GHz Cortex-X4 & 5x3.2 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520) Adreno 750 No 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM UFS 4.0 50 MP, f/1.7, 23mm (wide), 1/1.3"", 1.2µm, PDAF, OIS
64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", PDAF, OIS, 3x optical zoom
50 MP, f/2.0, 15mm, 119˚ (ultrawide), AF Dual-LED flash, HDR, panorama 8K@30fps, 4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS 16 MP, f/2.5, (wide) HDR 1080p@30fps, gyro-EIS Yes, with stereo speakers No 32-bit/384kHz audio Wi-Fi 802.11 a/b/g/n/ac/6/7, tri-band, Wi-Fi Direct 5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5) Yes Yes No USB Type-C 2.0, OTG Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, color spectrum Li-Po 5100 mAh, non-removable 120W wired
50W wireless
10W reverse wireless Black, Red, White (BMW M branding) V2329A About 650 EUR "
808,V29e (India),"GSM / HSPA / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 HSDPA 850 / 900 / 2100 1, 3, 5, 8, 28, 38, 40, 41 1, 3, 5, 8, 28, 77, 78 SA/NSA HSPA, LTE-A, 5G 2023, August 28 Available. Released 2023, September 07 164.4 x 74.9 x 7.6 mm (6.47 x 2.95 x 0.30 in) 181 g (6.38 oz) Glass front, plastic frame, glass back Dual SIM (Nano-SIM, dual stand-by) AMOLED, 1B colors, 120Hz, HDR10+, 1300 nits (peak) 6.78 inches, 111.0 cm2 (~90.1% screen-to-body ratio) 1080 x 2400 pixels, 20:9 ratio (~388 ppi density) Android 13, Funtouch 13 Qualcomm SM6375 Snapdragon 695 5G (6 nm) Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver) Adreno 619 microSDXC (uses shared SIM slot) 128GB 8GB RAM, 256GB 8GB RAM UFS 64 MP, f/1.9, (wide), PDAF, OIS
8 MP, f/2.2, (ultrawide), 1/4"", 1.12µm LED flash, panorama, HDR 1080p@30fps 50 MP, f/2.45, 22mm (wide), AF HDR 1080p@30fps Yes No 24-bit/192kHz audio Wi-Fi 802.11 a/b/g/n/ac, dual-band 5.1, A2DP, LE GPS, GLONASS, GALILEO, BDS No No USB Type-C 2.0, OTG Fingerprint (under display, optical), accelerometer, gyro, proximity, compass Li-Po 5000 mAh, non-removable 44W wired Artistic Red, Artistic Blue About 300 EUR "
809,Y77t,"GSM / CDMA / HSPA / CDMA2000 / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 850 / 900 / 2100 CDMA2000 1x 1, 3, 5, 8, 28, 34, 38, 39, 40, 41 1, 5, 8, 28, 41, 77, 78 SA/NSA HSPA, LTE-A, 5G 2023, August 18 Available. Released 2023, August 18 164.1 x 76.2 x 8 mm (6.46 x 3.00 x 0.31 in) 190 g (6.70 oz) Glass front, plastic frame, plastic back Dual SIM (Nano-SIM, dual stand-by) IPS LCD, 120Hz, HDR10 6.64 inches, 106.8 cm2 (~85.4% screen-to-body ratio) 1080 x 2388 pixels (~395 ppi density) Android 13, OriginOS 3 Mediatek MT6886 Dimensity 7020 (6 nm) Octa-core (2x2.2 GHz & 6x2.0 GHz) IMG BXM No 256GB 8GB RAM, 256GB 12GB RAM UFS 2.2 50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth) LED flash, HDR, panorama 1080p@30fps 8 MP, f/2.0, (wide) 1080p@30fps Yes Yes Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct 5.3, A2DP, LE, aptX HD GPS (L1), GLONASS (G1), BDS (B1I), GALILEO (E1), QZSS (L1) No No USB Type-C 2.0, OTG Fingerprint (side-mounted), accelerometer, proximity, compass Li-Po 5000 mAh, non-removable 44W wired Black, Mint, Gold About 170 EUR "
810,Y27 5G,"GSM / HSPA / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 26, 28, 38, 40, 41, 66 1, 2, 5, 7, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA HSPA, LTE-A, 5G 2023, July 12 Available. Released 2023, July 164.1 x 76.2 x 8.1 mm (6.46 x 3.00 x 0.32 in) 190 g (6.70 oz) Glass front, plastic frame, plastic back Dual SIM (Nano-SIM, dual stand-by) IPS LCD, 600 nits (peak) 6.64 inches, 106.8 cm2 (~85.4% screen-to-body ratio) 1080 x 2388 pixels (~395 ppi density) Android 13, Funtouch 13 Mediatek MT6833V/ZA Dimensity 6020 (7 nm) Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) Mali-G57 MC2 No 128GB 4GB RAM, 128GB 6GB RAM 50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth) LED flash, panorama 1080p@30fps 8 MP, f/2.0, (wide) 1080p@30fps Yes Yes Wi-Fi 802.11 a/b/g/n/ac, dual-band 5.1, A2DP, LE GPS, GLONASS, GALILEO, BDS Yes (market/region dependent) No USB Type-C 2.0, OTG Fingerprint (side-mounted), accelerometer, proximity, compass Li-Po 5000 mAh, non-removable 15W wired
Reverse wired Satin Purple, Mystic Black V2302 "
811,iQOO Neo 7 Pro,"GSM / HSPA / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 1, 2, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41 1, 3, 5, 8, 28, 40, 77, 78 SA/NSA HSPA, LTE-A, 5G 2023, July 04 Available. Released 2023, July 15 164.8 x 76.9 x 8.5 mm or 8.9 mm 197 g or 202 g (6.95 oz) Glass front, plastic frame, glass or leather back Dual SIM (Nano-SIM, dual stand-by) AMOLED, 1B colors, 120Hz, HDR10+, 1300 nits (peak) 6.78 inches, 111.0 cm2 (~87.6% screen-to-body ratio) 1080 x 2400 pixels, 20:9 ratio (~388 ppi density) Android 13, Funtouch 13 Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm) Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510) Adreno 730 No 128GB 8GB RAM, 256GB 12GB RAM UFS 3.1 50 MP, f/1.9, 24mm (wide), 1/1.57"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 16mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro) LED flash, HDR, panorama 4K@30fps, 1080p@30fps 16 MP, f/2.5, (wide), 1/3.1"", 1.0µm HDR 1080p@30fps Yes, with stereo speakers No 24-bit/192kHz audio Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct 5.3, A2DP, LE, aptX HD, aptX Adaptive GPS, GLONASS, GALILEO, BDS, QZSS, NavIC No Yes No USB Type-C 2.0, OTG Fingerprint (under display, optical), accelerometer, gyro, proximity, compass Li-Po 5000 mAh, non-removable 120W wired, 50% in 8 min (advertised) Fearless Flame, Dark Storm I2217 ₹ 32,999 "
812,X90s,"GSM / CDMA / HSPA / CDMA2000 / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 CDMA2000 1x 1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41 1, 3, 5, 8, 28, 41, 77, 88 SA/NSA HSPA, LTE-A, 5G 2023, June 26 Available. Released 2023, June 30 164.1 x 74.4 x 8.5 mm or 8.9 mm 197.5 / 201.5 / 202.2 / 203.5 g (6.98 oz) Glass front, glass back or eco leather back Dual SIM (Nano-SIM, dual stand-by) IP64 dust/water resistant AMOLED, 1B colors, 120Hz, HDR10+, 1300 nits (peak) 6.78 inches, 111.0 cm2 (~90.9% screen-to-body ratio) 1260 x 2800 pixels, 20:9 ratio (~453 ppi density) Android 13, OriginOS 3 Mediatek MT6985 Dimensity 9200+ (4 nm) Octa-core (1x3.35 GHz Cortex-X3 & 3x3.0 GHz Cortex-A715 & 4x2.0 GHz Cortex-A510) Immortalis-G715 MC11 No 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM UFS 4.0 50 MP, f/1.8, (wide), 1/1.49"", 1.0µm, PDAF, Laser AF, OIS
12 MP, f/2.0, 50mm (telephoto), 1/2.93"", 1.22µm, AF, 2x optical zoom
12 MP, f/2.0, 16mm (ultrawide), 1/2.93"", 1.22µm, AF Zeiss optics, Zeiss T* lens coating, Pixel Shift, dual-LED dual-tone flash, HDR, panorama 4K@30/60fps, 1080p@30/60fps, gyro-EIS 32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm HDR 1080p@30/60fps Yes, with stereo speakers No 24-bit/192kHz audio Wi-Fi 802.11 a/b/g/n/ac/6/7, tri-band 5.3, A2DP, LE, aptX HD GPS (L1+L5), GLONASS (G1), BDS (B1I+B2a+B2c), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5) Yes Yes No USB Type-C 2.0, OTG Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum Li-Po 4810 mAh, non-removable 120W wired, 50% in 8 min (advertised)
Reverse wired Black, White, Red, Green V2241HA About 510 EUR "
813,Y36 5G,"GSM / HSPA / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 HSDPA 850 / 900 / 2100 1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 39, 40, 41 1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78 SA/NSA HSPA, LTE, 5G 2023, May 27 Available. Released 2023, June 13 164.1 x 76.2 x 8.1 mm (6.46 x 3.00 x 0.32 in) 190 g (6.70 oz) Glass front, plastic back, plastic frame Dual SIM (Nano-SIM, dual stand-by) IP54, dust and splash resistant IPS LCD, 90Hz, 650 nits (peak) 6.64 inches, 106.8 cm2 (~85.4% screen-to-body ratio) 1080 x 2388 pixels (~395 ppi density) Android 13, Funtouch 13 Mediatek MT6833V/ZA Dimensity 6020 (7 nm) Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) Mali-G57 MC2 Unspecified 256GB 8GB RAM 50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth) LED flash 1080p@30fps 16 MP, f/2.5, (wide) 1080p@30fps Yes Yes Wi-Fi 802.11 a/b/g/n/ac, dual-band 5.1, A2DP, LE GPS, GLONASS, GALILEO, BDS, QZSS Yes (market/region dependent) FM radio USB Type-C 2.0, OTG Fingerprint (side-mounted), accelerometer, proximity, gyro, compass Li-Po 5000 mAh, non-removable 44W wired, 30% in 15 min (advertised)
Reverse wired Crystal Green, Mystic Black V2248 About 220 EUR "
814,Y36,"GSM / HSPA / LTE GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 HSDPA 850 / 900 / 2100 1, 3, 5, 7, 8, 20, 28, 38, 40, 41 HSPA, LTE 2023, May 27 Available. Released 2023, May 27 164.1 x 76.2 x 8.1 mm (6.46 x 3.00 x 0.32 in) 202 g (7.13 oz) Glass front, plastic back, plastic frame Dual SIM (Nano-SIM, dual stand-by) IP54, dust and splash resistant IPS LCD, 90Hz, 650 nits (peak) 6.64 inches, 106.8 cm2 (~85.4% screen-to-body ratio) 1080 x 2388 pixels (~395 ppi density) Android 13, Funtouch 13 Qualcomm SM6225 Snapdragon 680 4G (6 nm) Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver) Adreno 610 microSDXC (dedicated slot) 128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM 50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)
2 MP, f/2.4, (macro)
* the macro camera availability is market/region dependent LED flash 1080p@30fps 16 MP, f/2.5, (wide) 1080p@30fps Yes Yes 24-bit/192kHz audio Wi-Fi 802.11 a/b/g/n/ac, dual-band 5.1, A2DP, LE GPS, GLONASS, GALILEO, BDS, QZSS Yes (market/region dependent) FM radio USB Type-C 2.0, OTG Fingerprint (side-mounted), accelerometer, proximity, gyro, compass Li-Po 5000 mAh, non-removable 44W wired, 30% in 15 min (advertised)
Reverse wired Meteor Black, Gold, Aqua Glitter V2247 About 200 EUR "
815,T2x (India),"GSM / HSPA / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 HSDPA 850 / 900 / 2100 1, 3, 5, 8, 38, 40, 41 1, 3, 8, 28, 77, 78 SA/NSA HSPA, LTE-A, 5G 2023, April 11 Available. Released 2023, April 21 164.1 x 75.6 x 8.2 mm (6.46 x 2.98 x 0.32 in) 184 g (6.49 oz) Glass front, plastic frame, plastic back Hybrid Dual SIM (Nano-SIM, dual stand-by) IPS LCD 6.58 inches, 104.3 cm2 (~84.1% screen-to-body ratio) 1080 x 2408 pixels, 20:9 ratio (~401 ppi density) Android 13, Funtouch 13 Mediatek MT6833V/ZA Dimensity 6020 (7 nm) Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) Mali-G57 MC2 microSDXC (uses shared SIM slot) 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM 50 MP, f/1.8, 0.64µm, (wide), PDAF
2 MP, f/2.4, (macro) LED flash, HDR, panorama 1080p@30fps 8 MP, f/2.0, (wide) Yes Yes Yes Wi-Fi 802.11 a/b/g/n/ac, dual-band 5.1, A2DP, LE GPS, GLONASS, GALILEO, BDS, QZSS No FM radio USB Type-C 2.0, OTG Fingerprint (side-mounted), accelerometer, proximity, compass Li-Po 5000 mAh, non-removable 18W wired Glimmer Black, Aurora Gold, Marine Blue V2253 ₹ 13,369 "
816,iQOO Neo7 Racing,"GSM / CDMA / HSPA / CDMA2000 / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 CDMA2000 1x 1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41 1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA HSPA, LTE-A, 5G 2022, December 29 Available. Released 2023, January 05 164.8 x 76.9 x 8.5 mm or 8.9 mm 197 g / 202 g (6.95 oz) Dual SIM (Nano-SIM, dual stand-by) AMOLED, 120Hz, HDR10+, 1500 nits (peak) 6.78 inches, 111.0 cm2 (~87.6% screen-to-body ratio) 1080 x 2400 pixels, 20:9 ratio (~388 ppi density) Android 13, OriginOS 3 Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm) Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510) Adreno 730 No 256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM UFS 3.1 50 MP, f/1.9, 24mm (wide), 1/1.57"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 16mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro) LED flash, HDR, panorama 4K@30fps, 1080p@30fps 16 MP, f/2.5, (wide), 1/3.1"", 1.0µm HDR 1080p@30fps Yes No 24-bit/192kHz audio Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct 5.3, A2DP, LE, aptX HD, aptX Adaptive GPS, GLONASS, GALILEO, BDS, QZSS Yes Yes No USB Type-C 2.0, OTG Fingerprint (under display, optical), accelerometer, gyro, proximity, compass Li-Po 5000 mAh, non-removable 120W wired, 50% in 8 min (advertised) Orange, Black, Blue V2232A About 380 EUR "
817,X90 Pro+,"GSM / CDMA / HSPA / EVDO / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 / 1900 HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 CDMA2000 1xEV-DO 1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 42, 66 1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 40, 41, 66, 77, 78, 79 SA/NSA HSPA, LTE-A, 5G 2022, November 22 Available. Released 2022, December 06 164.4 x 75.3 x 9.7 mm (6.47 x 2.96 x 0.38 in) 221 g (7.80 oz) Glass front, aluminum frame, eco leather back Dual SIM (Nano-SIM, dual stand-by) IP68 dust/water resistant (up to 1.5m for 30 min) LTPO4 AMOLED, 1B colors, 120Hz, Dolby Vision, HDR10+, 1800 nits (peak) 6.78 inches, 111.4 cm2 (~90.0% screen-to-body ratio) 1440 x 3200 pixels, 20:9 ratio (~517 ppi density) Android 13, Funtouch (Global), OriginOS 3 (China) Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm) Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510) Adreno 740 No 256GB 12GB RAM, 512GB 12GB RAM UFS 4.0 50.3 MP, f/1.8, 23mm (wide), 1.0""-type, 1.6µm, Dual Pixel PDAF, Laser AF, OIS
64 MP, f/3.5, 90mm (periscope telephoto), 1/2.0"", 0.7µm, PDAF, OIS, 3.5x optical zoom
50 MP, f/1.6, 50mm (telephoto), 1/2.4"", 0.7µm, AF, 2x optical zoom, OIS
48 MP, f/2.2, 14mm, 114˚ (ultrawide), 1/2.0"", 0.8µm, AF Zeiss optics, Zeiss T* lens coating, Pixel Shift, dual-LED dual-tone flash, HDR, panorama 8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS, 14-bit RAW video 32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm HDR 1080p@30/60fps Yes, with stereo speakers No 32-bit/192kHz audio Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct 5.3, A2DP, LE, aptX HD GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS Yes Yes No USB Type-C 3.2, OTG Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, color spectrum Li-Po 4700 mAh, non-removable 80W wired, 100% in 33 min (advertised)
50W wireless
Reverse wired Black, Red V2227A About 1030 EUR "
818,iQOO Neo7 (China),"GSM / CDMA / HSPA / CDMA2000 / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 CDMA2000 1x 1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41 1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA HSPA, LTE-A, 5G 2022, October 20 Available. Released 2022, October 31 164.8 x 76.9 x 8.5 mm or 8.9 mm 197 g / 202 g (6.95 oz) Dual SIM (Nano-SIM, dual stand-by) AMOLED, 120Hz, HDR10+, 1500 nits (peak) 6.78 inches, 111.0 cm2 (~87.6% screen-to-body ratio) 1080 x 2400 pixels, 20:9 ratio (~388 ppi density) Android 13, OriginOS Ocean Mediatek MT6983W/CZA Dimensity 9000+ (4 nm) Octa-core (1x3.20 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510) Mali-G710 MC10 No 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM UFS 3.1 50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 16mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro) LED flash, HDR, panorama 4K@30fps, 1080p@30fps 16 MP, f/2.5, (wide), 1/3.1"", 1.0µm HDR 1080p@30fps Yes No 24-bit/192kHz audio Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct 5.3, A2DP, LE, aptX HD GPS, GLONASS, GALILEO, BDS, QZSS Yes Yes No USB Type-C 2.0, OTG Fingerprint (under display, optical), accelerometer, gyro, proximity, compass Li-Po 5000 mAh, non-removable 120W wired, 50% in 9 min (advertised) Orange, Black, Blue V2231A About 380 EUR "
819,Y73t,"GSM / CDMA / HSPA / CDMA2000 / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 850 / 900 / 1700(AWS) / 2100 CDMA2000 1x 1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41 1, 5, 8, 28, 41, 77, 78 SA/NSA HSPA, LTE-A, 5G 2022, September 29 Available. Released 2022, September 29 163.9 x 75.3 x 9.2 mm (6.45 x 2.96 x 0.36 in) 201.5 g (7.13 oz) Glass front, plastic frame, plastic back Dual SIM (Nano-SIM, dual stand-by) IPS LCD 6.58 inches, 104.3 cm2 (~84.5% screen-to-body ratio) 1080 x 2408 pixels, 20:9 ratio (~401 ppi density) Android 11, OriginOS 11 Mediatek MT6833 Dimensity 700 (7 nm) Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) Mali-G57 MC2 No 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM UFS 2.1 50 MP, f/1.8, 26mm (wide), PDAF
2 MP, f/2.4, (macro) Dual-LED dual-tone flash, HDR, panorama 1080p@30fps 8 MP, f/2.0, (wide) 1080p@30fps Yes Yes Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct 5.1, A2DP, LE, aptX HD GPS, GLONASS, GALILEO, BDS, QZSS No USB Type-C, OTG Fingerprint (side-mounted), accelerometer, proximity, compass Li-Po 6000 mAh, non-removable 44W wired, 50% in 33 min (advertised) Black, Blue, Orange V2164PA About 200 EUR "
820,Y77e,"GSM / CDMA / HSPA / CDMA2000 / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 850 / 900 / 2100 CDMA2000 1x 1, 3, 5, 8, 28, 34, 38, 39, 40, 41 1, 5, 8, 28, 41, 77, 78 SA/NSA HSPA, LTE-A, 5G 2022, August 12 Available. Released 2022, August 12 164 x 75.8 x 8.3 mm (6.46 x 2.98 x 0.33 in) 194 g (6.84 oz) Glass front, plastic frame, plastic back Dual SIM (Nano-SIM, dual stand-by) IPS LCD 6.58 inches, 104.3 cm2 (~83.9% screen-to-body ratio) 1080 x 2408 pixels, 20:9 ratio (~401 ppi density) Android 12, OriginOS Ocean Mediatek MT6833P Dimensity 810 (6 nm) Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) Mali-G57 MC2 microSDXC (uses shared SIM slot) 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM UFS 2.2 13 MP, f/2.2, (wide), PDAF
2 MP, f/2.4, (macro) LED flash, HDR, panorama 1080p@30fps 8 MP, f/2.0, (wide) 1080p@30fps Yes Yes Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct 5.1, A2DP, LE, aptX HD GPS, GLONASS, GALILEO, BDS, QZSS No No USB Type-C 2.0, OTG Fingerprint (side-mounted), accelerometer, proximity, compass Li-Po 5000 mAh, non-removable 18W wired Black, Blue gradient, Pink V2166BA About 250 EUR "
821,T2 (China),"GSM / CDMA / HSPA / CDMA2000 / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 850 / 900 / 1700(AWS) / 2100 CDMA2000 1x 1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41 1, 5, 8, 28, 41, 77, 78 SA/NSA HSPA, LTE-A, 5G 2022, May 23 Cancelled 163 x 76.2 x 8.5 mm (6.42 x 3.00 x 0.33 in) 190 g (6.70 oz) Dual SIM (Nano-SIM, dual stand-by) AMOLED, 120Hz, HDR10+, 1300 nits (peak) 6.62 inches, 105.8 cm2 (~85.2% screen-to-body ratio) 1080 x 2400 pixels, 20:9 ratio (~398 ppi density) Android 12, OriginOS Ocean Qualcomm SM8250-AC Snapdragon 870 5G (7 nm) Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585) Adreno 650 No 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM UFS 3.1 64 MP, f/1.9, (wide), PDAF, OIS
8 MP, f/2.2, 116˚ (ultrawide)
2 MP, f/2.4, (macro) LED flash, HDR, panorama 4K@30fps, 1080p@30fps 16 MP, f/2.0, (wide) HDR 1080p@30fps Yes, with dual speakers Yes 24-bit/192kHz audio Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct 5.2, A2DP, LE, aptX HD, aptX Adaptive GPS, GLONASS, GALILEO, BDS, QZSS Yes Yes No USB Type-C 2.0, OTG Fingerprint (under display, optical), accelerometer, gyro, proximity, compass Li-Po 4700 mAh, non-removable 80W wired Black, Mint V2199GA "
